Date,Close,Volume
2025-03-07T06:21:00.000Z,"1,680.50","8,185.00"
2025-03-07T06:22:00.000Z,"1,680.50","12,844.00"
2025-03-07T06:23:00.000Z,"1,680.95","15,301.00"
2025-03-07T06:24:00.000Z,"1,680.75","8,986.00"
2025-03-07T06:25:00.000Z,"1,680.55","8,894.00"
2025-03-07T06:26:00.000Z,"1,680.65","9,978.00"
2025-03-07T06:27:00.000Z,"1,679.80","21,800.00"
2025-03-07T06:28:00.000Z,"1,680.00","13,707.00"
2025-03-07T06:29:00.000Z,"1,679.50","6,773.00"
2025-03-07T06:30:00.000Z,"1,680.00","17,368.00"
2025-03-07T06:31:00.000Z,"1,679.75","8,641.00"
2025-03-07T06:32:00.000Z,"1,677.00","23,361.00"
2025-03-07T06:33:00.000Z,"1,676.60","19,930.00"
2025-03-07T06:34:00.000Z,"1,676.85","14,117.00"
2025-03-07T06:35:00.000Z,"1,676.00","11,433.00"
2025-03-07T06:36:00.000Z,"1,677.20","19,037.00"
2025-03-07T06:37:00.000Z,"1,677.80","11,415.00"
2025-03-07T06:38:00.000Z,"1,677.05","15,468.00"
2025-03-07T06:39:00.000Z,"1,676.05","19,281.00"
2025-03-07T06:40:00.000Z,"1,676.55","16,366.00"
2025-03-07T06:41:00.000Z,"1,676.50","27,500.00"
2025-03-07T06:42:00.000Z,"1,676.90","19,558.00"
2025-03-07T06:43:00.000Z,"1,676.80","21,209.00"
2025-03-07T06:44:00.000Z,"1,677.05","21,378.00"
2025-03-07T06:45:00.000Z,"1,678.95","19,662.00"
2025-03-07T06:46:00.000Z,"1,677.30","26,036.00"
2025-03-07T06:47:00.000Z,"1,677.90","11,864.00"
2025-03-07T06:48:00.000Z,"1,678.50","11,605.00"
2025-03-07T06:49:00.000Z,"1,679.00","17,054.00"
2025-03-07T06:50:00.000Z,"1,678.15","19,501.00"
2025-03-07T06:51:00.000Z,"1,678.05","18,654.00"
2025-03-07T06:52:00.000Z,"1,678.40","14,163.00"
2025-03-07T06:53:00.000Z,"1,679.95","13,555.00"
2025-03-07T06:54:00.000Z,"1,678.65","23,785.00"
2025-03-07T06:55:00.000Z,"1,678.10","21,564.00"
2025-03-07T06:56:00.000Z,"1,678.20","21,641.00"
2025-03-07T06:57:00.000Z,"1,678.65","13,711.00"
2025-03-07T06:58:00.000Z,"1,679.65","25,001.00"
2025-03-07T06:59:00.000Z,"1,679.55","23,385.00"
2025-03-07T07:00:00.000Z,"1,679.05","17,853.00"
2025-03-07T07:01:00.000Z,"1,680.95","33,309.00"
2025-03-07T07:02:00.000Z,"1,680.00","32,716.00"
2025-03-07T07:03:00.000Z,"1,680.80","12,866.00"
